"Area","Year","Period","Period Value","Unemployment Rate","Adjusted","Preliminary","Benchmark"
"Adams County","2022","July","202207","5.30","0","1","2021"
"Adams County","2022","June","202206","5.10","0","0","2021"
"Adams County","2022","May","202205","4.60","0","0","2021"
"Adams County","2022","April","202204","5.10","0","0","2021"
"Adams County","2022","March","202203","6.30","0","0","2021"
"Adams County","2022","February","202202","6.70","0","0","2021"
"Adams County","2022","January","202201","6.30","0","0","2021"
"Adams County","2021","December","202112","4.60","0","0","2021"
"Adams County","2021","November","202111","4.10","0","0","2021"
"Adams County","2021","October","202110","4","0","0","2021"
"Adams County","2021","September","202109","4.50","0","0","2021"
"Adams County","2021","August","202108","5.40","0","0","2021"
"Adams County","2021","July","202107","5.80","0","0","2021"
"Adams County","2021","June","202106","6.40","0","0","2021"
"Adams County","2021","May","202105","6.10","0","0","2021"
"Adams County","2021","April","202104","6.80","0","0","2021"
"Adams County","2021","March","202103","8.50","0","0","2021"
"Adams County","2021","February","202102","9.50","0","0","2021"
"Adams County","2021","January","202101","8.50","0","0","2021"
"Adams County","2020","December","202012","8.30","0","0","2021"
"Adams County","2020","November","202011","7.50","0","0","2021"
"Adams County","2020","October","202010","6.80","0","0","2021"
"Adams County","2020","September","202009","7.70","0","0","2021"
"Adams County","2020","August","202008","7.90","0","0","2021"
"Adams County","2020","July","202007","10","0","0","2021"
"Adams County","2020","June","202006","11.20","0","0","2021"
"Adams County","2020","May","202005","15","0","0","2021"
"Adams County","2020","April","202004","21.70","0","0","2021"
"Adams County","2020","March","202003","7.10","0","0","2021"
"Adams County","2020","February","202002","6.40","0","0","2021"
"Adams County","2020","January","202001","5.70","0","0","2021"
"Adams County","2019","December","201912","5","0","0","2021"
"Adams County","2019","November","201911","4.30","0","0","2021"
"Adams County","2019","October","201910","3.50","0","0","2021"
"Adams County","2019","September","201909","3.60","0","0","2021"
"Adams County","2019","August","201908","4.50","0","0","2021"
"Adams County","2019","July","201907","4.80","0","0","2021"
"Adams County","2019","June","201906","4.70","0","0","2021"
"Adams County","2019","May","201905","3.90","0","0","2021"
"Adams County","2019","April","201904","4.60","0","0","2021"
"Adams County","2019","March","201903","6.20","0","0","2021"
"Adams County","2019","February","201902","6.50","0","0","2021"
"Adams County","2019","January","201901","6.40","0","0","2021"
"Adams County","2018","December","201812","5.40","0","0","2021"
"Adams County","2018","November","201811","4.10","0","0","2021"
"Adams County","2018","October","201810","3.60","0","0","2021"
"Adams County","2018","September","201809","3.30","0","0","2021"
"Adams County","2018","August","201808","4.20","0","0","2021"
"Adams County","2018","July","201807","4.70","0","0","2021"
"Adams County","2018","June","201806","4.80","0","0","2021"
"Adams County","2018","May","201805","3.90","0","0","2021"
"Adams County","2018","April","201804","4.60","0","0","2021"
"Adams County","2018","March","201803","5.60","0","0","2021"
"Adams County","2018","February","201802","6.40","0","0","2021"
"Adams County","2018","January","201801","5.70","0","0","2021"
"Adams County","2017","December","201712","5.10","0","0","2021"
"Adams County","2017","November","201711","4.20","0","0","2021"
"Adams County","2017","October","201710","3.80","0","0","2021"
"Adams County","2017","September","201709","4.10","0","0","2021"
"Adams County","2017","August","201708","5","0","0","2021"
"Adams County","2017","July","201707","4.70","0","0","2021"
"Adams County","2017","June","201706","5","0","0","2021"
"Adams County","2017","May","201705","4.10","0","0","2021"
"Adams County","2017","April","201704","4.50","0","0","2021"
"Adams County","2017","March","201703","6.30","0","0","2021"
"Adams County","2017","February","201702","7.20","0","0","2021"
"Adams County","2017","January","201701","6.70","0","0","2021"
"Adams County","2016","December","201612","5.70","0","0","2021"
"Adams County","2016","November","201611","4.80","0","0","2021"
"Adams County","2016","October","201610","4.60","0","0","2021"
"Adams County","2016","September","201609","5","0","0","2021"
"Adams County","2016","August","201608","5.40","0","0","2021"
"Adams County","2016","July","201607","5.40","0","0","2021"
"Adams County","2016","June","201606","5.90","0","0","2021"
"Adams County","2016","May","201605","4.90","0","0","2021"
"Adams County","2016","April","201604","5.70","0","0","2021"
"Adams County","2016","March","201603","7.50","0","0","2021"
"Adams County","2016","February","201602","7.90","0","0","2021"
"Adams County","2016","January","201601","7.70","0","0","2021"
"Adams County","2015","December","201512","6.90","0","0","2021"
"Adams County","2015","November","201511","6.10","0","0","2021"
"Adams County","2015","October","201510","5.50","0","0","2021"
"Adams County","2015","September","201509","5.70","0","0","2021"
"Adams County","2015","August","201508","6.10","0","0","2021"
"Adams County","2015","July","201507","6.40","0","0","2021"
