zip,Zipcode name,City,State,County Name
54405,"ABBOTSFORD, WI",ABBOTSFORD,WI,CLARK
54101,"ABRAMS, WI",ABRAMS,WI,OCONTO
53910,"ADAMS, WI",ADAMS,WI,ADAMS
53001,"ADELL, WI",ADELL,WI,SHEBOYGAN
53501,"AFTON, WI",AFTON,WI,ROCK
53502,"ALBANY, WI",ALBANY,WI,GREEN
54201,"ALGOMA, WI",ALGOMA,WI,KEWAUNEE
53002,"ALLENTON, WI",ALLENTON,WI,WASHINGTON
54610,"ALMA, WI",ALMA,WI,BUFFALO
54611,"ALMA CENTER, WI",ALMA CENTER,WI,JACKSON
54805,"ALMENA, WI",ALMENA,WI,BARRON
54909,"ALMOND, WI",ALMOND,WI,PORTAGE
54720,"ALTOONA, WI",ALTOONA,WI,EAU CLAIRE
54102,"AMBERG, WI",AMBERG,WI,MARINETTE
54001,"AMERY, WI",AMERY,WI,POLK
54406,"AMHERST, WI",AMHERST,WI,PORTAGE
54407,"AMHERST JUNCTION, WI",AMHERST JUNCTION,WI,PORTAGE
54408,"ANIWA, WI",ANIWA,WI,MARATHON
54409,"ANTIGO, WI",ANTIGO,WI,LANGLADE
54911,"APPLETON, WI",APPLETON,WI,OUTAGAMIE
54912,"APPLETON, WI",APPLETON,WI,OUTAGAMIE
54913,"APPLETON, WI",APPLETON,WI,OUTAGAMIE
54914,"APPLETON, WI",APPLETON,WI,OUTAGAMIE
54915,"APPLETON, WI",APPLETON,WI,OUTAGAMIE
54919,"APPLETON, WI",APPLETON,WI,OUTAGAMIE
54612,"ARCADIA, WI",ARCADIA,WI,TREMPEALEAU
53503,"ARENA, WI",ARENA,WI,IOWA
54511,"ARGONNE, WI",ARGONNE,WI,FOREST
53504,"ARGYLE, WI",ARGYLE,WI,LAFAYETTE
54721,"ARKANSAW, WI",ARKANSAW,WI,PEPIN
54613,"ARKDALE, WI",ARKDALE,WI,ADAMS
53911,"ARLINGTON, WI",ARLINGTON,WI,COLUMBIA
54103,"ARMSTRONG CREEK, WI",ARMSTRONG CREEK,WI,FOREST
54410,"ARPIN, WI",ARPIN,WI,WOOD
53003,"ASHIPPUN, WI",ASHIPPUN,WI,DODGE
54806,"ASHLAND, WI",ASHLAND,WI,ASHLAND
54104,"ATHELSTANE, WI",ATHELSTANE,WI,MARINETTE
54411,"ATHENS, WI",ATHENS,WI,MARATHON
54412,"AUBURNDALE, WI",AUBURNDALE,WI,WOOD
54722,"AUGUSTA, WI",AUGUSTA,WI,EAU CLAIRE
53505,"AVALON, WI",AVALON,WI,ROCK
53506,"AVOCA, WI",AVOCA,WI,IOWA
54413,"BABCOCK, WI",BABCOCK,WI,WOOD
53801,"BAGLEY, WI",BAGLEY,WI,GRANT
54202,"BAILEYS HARBOR, WI",BAILEYS HARBOR,WI,DOOR
54002,"BALDWIN, WI",BALDWIN,WI,SAINT CROIX
54810,"BALSAM LAKE, WI",BALSAM LAKE,WI,POLK
54921,"BANCROFT, WI",BANCROFT,WI,PORTAGE
54614,"BANGOR, WI",BANGOR,WI,LA CROSSE
53913,"BARABOO, WI",BARABOO,WI,SAUK
53507,"BARNEVELD, WI",BARNEVELD,WI,IOWA
54812,"BARRON, WI",BARRON,WI,BARRON
54813,"BARRONETT, WI",BARRONETT,WI,BARRON
53101,"BASSETT, WI",BASSETT,WI,KENOSHA
54723,"BAY CITY, WI",BAY CITY,WI,PIERCE
